Inverter type;Serial number;RS485 address;IP address;Yield[kWh]
blueplanet 50.0 TL3 WM;50.0TL01662776;1;10.14.47.160;228.76
Time;Udc1[V];Idc1[A];Pdc1[W];Uac1[V];Iac1[A];Uac2[V];Iac2[A];Uac3[V];Iac3[A];Pdc[W];Pac[W];Tsys[°C]
05:16:04;0.0;0.00;0;0.0;0.00;0.0;0.00;0.0;0.00;0;0;0.0
05:16:18;50.8;0.00;0;108.6;0.00;107.5;0.00;107.0;0.00;0;0;16.6
05:16:41;0.0;0.00;0;0.0;0.00;0.0;0.00;0.0;0.00;0;0;0.0
05:21:45;596.3;0.00;0;244.5;0.00;243.1;0.00;241.8;0.00;0;0;33.3
05:26:51;683.9;0.00;0;245.6;0.00;244.2;0.00;242.9;0.00;0;0;33.5
05:32:01;710.7;0.00;2;245.0;0.00;243.6;0.00;242.2;0.00;3;3;33.6
05:37:05;630.2;0.42;265;245.4;0.41;243.9;0.41;242.4;0.40;265;259;34.8
05:42:14;650.3;0.84;551;245.7;0.83;244.0;0.84;242.3;0.83;551;544;35.7
05:47:16;689.4;1.22;847;245.7;1.24;243.9;1.25;242.8;1.24;847;830;36.7
05:52:19;698.2;1.50;1048;245.2;1.51;243.5;1.53;242.1;1.51;1048;1026;37.6
05:57:23;703.6;1.80;1266;244.8;1.81;243.1;1.84;241.5;1.82;1266;1242;38.4
06:02:27;713.6;2.56;1827;245.8;2.54;244.3;2.58;242.7;2.56;1827;1791;39.3
06:07:35;725.4;3.16;2295;246.5;3.12;245.5;3.16;243.7;3.14;2295;2249;38.4
06:12:39;735.8;3.65;2688;248.7;3.63;247.5;3.67;245.8;3.66;2688;2635;37.2
06:17:44;739.3;4.01;2971;250.3;3.97;248.8;4.01;247.6;4.00;2971;2912;37.2
06:22:46;733.2;4.76;3497;253.3;4.60;252.0;4.64;250.6;4.62;3497;3427;37.5
06:27:50;743.5;5.92;4408;256.3;5.70;254.8;5.74;253.6;5.72;4408;4319;38.0
06:32:57;731.5;5.22;3819;257.6;4.93;256.0;4.97;254.5;4.96;3819;3741;38.2
06:37:59;734.8;4.85;3568;258.5;4.60;257.4;4.63;256.2;4.62;3568;3492;38.1
06:43:03;725.5;7.66;5564;260.1;7.08;258.6;7.11;257.2;7.09;5564;5450;38.8
06:48:04;749.1;8.27;6202;260.4;7.89;258.7;7.94;257.0;7.91;6202;6077;39.5
06:53:09;733.7;9.13;6704;261.0;8.50;259.5;8.55;257.7;8.51;6704;6569;40.0
06:58:11;737.8;9.75;7196;261.4;9.11;259.6;9.16;257.9;9.12;7196;7052;40.4
07:03:21;743.6;10.49;7804;261.7;9.85;259.8;9.91;257.8;9.87;7804;7647;40.8
07:08:24;741.1;10.45;7751;261.7;9.79;260.1;9.83;258.4;9.79;7751;7597;41.0
07:13:26;730.7;11.14;8146;261.7;10.26;260.1;10.32;258.2;10.28;8146;7977;41.1
07:18:29;717.7;12.44;8930;262.1;11.26;260.2;11.30;258.4;11.26;8930;8749;41.3
07:23:31;674.6;17.71;11950;263.7;14.95;261.8;15.03;259.7;14.93;11950;11712;41.7
07:28:32;692.0;20.01;13850;264.3;17.28;262.4;17.34;260.4;17.25;13850;13571;42.0
07:33:36;693.6;21.95;15226;265.0;18.96;262.8;19.03;260.8;18.90;15226;14920;42.1
07:38:37;695.9;23.55;16394;265.6;20.37;263.5;20.44;261.1;20.32;16394;16063;42.4
07:43:39;714.7;25.78;18430;266.1;22.86;264.0;22.93;261.2;22.82;18430;18060;43.2
07:48:41;704.3;25.82;18189;265.3;22.61;263.4;22.68;260.7;22.56;18189;17825;43.6
07:53:43;711.6;22.42;15955;263.3;19.93;261.6;20.01;259.1;19.90;15955;15602;42.7
07:58:47;735.2;14.59;10729;259.9;13.48;258.9;13.54;257.0;13.48;10729;10450;41.9
08:03:48;745.5;12.84;9576;259.1;12.14;257.8;12.21;255.7;12.15;9576;9369;41.7
08:08:49;748.4;12.57;9414;257.9;12.03;256.9;12.08;255.0;12.03;9414;9225;41.7
08:13:51;750.4;14.20;10661;257.0;13.65;256.1;13.71;254.1;13.65;10661;10446;42.0
08:18:51;756.9;19.96;15110;258.5;19.28;256.7;19.35;254.6;19.25;15110;14816;42.9
08:23:51;747.3;21.21;15853;257.1;20.31;255.3;20.41;252.9;20.30;15853;15542;43.2
08:28:55;746.2;20.52;15317;255.9;19.71;253.8;19.80;251.7;19.70;15317;15002;43.0
08:33:56;749.3;16.66;12490;253.5;16.23;251.4;16.30;249.6;16.23;12490;12233;42.3
08:38:59;750.8;18.16;13641;252.6;17.80;249.8;17.89;248.5;17.80;13641;13365;42.3
08:43:59;753.0;18.68;14073;250.9;18.47;248.6;18.56;247.1;18.47;14073;13789;42.7
08:49:02;752.0;18.55;13953;251.0;18.32;248.4;18.41;247.0;18.32;13953;13672;42.5
08:54:02;749.2;21.14;15843;250.1;20.89;247.1;20.99;245.6;20.87;15843;15523;43.5
08:59:02;741.3;27.13;20120;252.4;26.30;248.9;26.44;247.2;26.27;20120;19703;44.7
09:04:03;727.4;42.37;30826;257.9;39.50;254.4;39.71;251.1;39.46;30826;30191;48.6
09:09:03;724.0;35.59;25776;256.1;33.01;252.4;33.21;249.4;32.98;25776;25140;49.7
09:14:04;732.8;25.40;18615;255.0;24.02;252.2;24.15;249.9;24.00;18615;18222;46.0
09:19:05;731.3;26.07;19070;257.0;24.46;254.1;24.57;252.3;24.42;19070;18681;46.1
09:24:05;729.5;30.91;22555;258.2;28.82;255.1;28.95;254.0;28.75;22555;22105;46.4
09:29:06;727.0;31.13;22638;258.7;28.81;256.2;28.92;255.0;28.74;22638;22171;47.2
09:34:06;726.2;29.49;21418;259.9;27.15;257.4;27.26;256.4;27.10;21418;20988;46.4
09:39:08;722.5;41.78;30194;262.6;37.77;259.8;37.93;258.1;37.69;30194;29523;49.3
09:44:09;711.5;50.18;35713;264.4;44.56;261.2;44.77;259.4;44.46;35713;34988;52.1
09:49:16;700.9;47.81;33517;264.8;41.62;261.6;41.83;259.9;41.54;33517;32782;53.1
09:54:23;709.0;43.19;30626;265.5;37.70;262.0;37.92;260.1;37.63;30626;29878;52.0
09:59:29;724.6;22.75;16492;261.6;20.74;259.0;20.86;257.4;20.73;16492;16165;46.9
10:04:32;735.6;29.90;21997;264.3;27.21;261.4;27.35;259.6;27.17;21997;21484;46.1
10:09:32;709.4;58.24;41316;269.8;50.58;266.5;50.82;263.4;50.46;41316;40482;54.2
10:14:34;713.4;30.85;22011;263.6;27.26;260.3;27.41;259.0;27.20;22011;21509;50.2
10:19:35;731.5;20.45;14962;261.4;18.66;258.7;18.76;257.9;18.63;14962;14593;47.1
10:24:35;736.4;30.81;22694;264.2;28.05;260.7;28.20;259.7;27.99;22694;22174;46.0
10:29:39;719.9;44.39;31963;266.4;39.35;263.4;39.53;261.3;39.27;31963;31302;52.1
10:34:41;709.5;48.05;34098;266.8;41.98;263.2;42.20;261.4;41.88;34099;33412;53.1
10:39:44;723.9;31.92;23115;258.9;29.26;256.4;29.40;254.9;29.20;23115;22656;49.7
10:44:45;732.5;14.59;10695;251.9;13.98;250.4;14.05;249.3;13.97;10695;10479;45.7
10:49:45;733.6;49.85;36578;263.7;45.60;260.2;45.84;256.1;45.52;36578;35716;51.7
10:54:45;704.7;60.17;42407;264.2;53.11;261.3;53.31;256.7;52.97;42407;41535;55.8
10:59:46;694.5;57.05;39628;262.6;49.85;259.8;50.03;255.5;49.71;39628;38822;56.5
11:04:46;698.0;48.83;34086;260.2;43.14;257.5;43.31;253.2;43.06;34086;33379;55.2
11:09:46;703.5;54.49;38342;261.7;48.35;258.2;48.60;253.5;48.28;38342;37473;56.0
11:14:47;692.2;53.38;36954;259.1;47.13;256.1;47.35;251.8;47.04;36954;36272;56.2
11:19:48;694.0;52.84;36676;258.6;46.93;255.4;47.13;251.4;46.82;36676;35996;54.7
11:24:49;689.6;59.41;40975;259.9;52.28;256.2;52.52;251.8;52.15;40975;40154;57.0
11:29:55;690.9;58.40;40354;258.0;51.85;254.7;52.06;250.1;51.72;40354;39543;57.2
11:34:56;692.7;57.82;40059;256.5;51.77;253.2;52.00;248.3;51.66;40059;39255;57.3
11:39:57;691.6;57.85;40009;256.1;51.82;252.5;52.06;247.7;51.71;40009;39208;57.5
11:45:00;688.5;57.81;39808;256.2;51.49;253.1;51.65;248.8;51.30;39808;39011;57.3
11:50:03;688.2;58.56;40302;256.7;52.04;253.5;52.21;249.3;51.82;40302;39496;57.4
11:55:06;686.4;58.50;40162;257.0;51.77;253.9;51.94;249.7;51.56;40162;39354;57.4
12:00:09;683.2;59.29;40512;257.9;52.08;254.5;52.29;250.0;51.90;40512;39697;57.7
12:05:11;680.9;59.50;40516;258.7;51.92;255.3;52.13;250.8;51.74;40516;39703;57.8
12:10:11;683.6;57.40;39244;259.7;50.08;256.4;50.28;252.2;49.90;39244;38458;57.4
12:15:11;687.7;57.20;39342;261.5;49.88;258.2;50.07;253.8;49.69;39342;38553;57.1
12:20:16;683.7;57.18;39098;262.2;49.43;259.0;49.62;254.5;49.25;39098;38315;57.0
12:25:19;682.6;56.83;38800;263.8;48.74;260.5;48.94;256.4;48.54;38800;38020;56.8
12:30:22;681.2;56.66;38602;264.9;48.26;261.7;48.49;257.7;48.08;38602;37830;56.6
12:35:24;683.2;56.55;38639;265.2;48.27;261.9;48.49;258.3;48.07;38639;37865;56.5
12:40:27;685.2;55.82;38259;265.7;47.73;262.0;47.97;258.5;47.55;38259;37492;56.3
12:45:30;685.5;55.54;38078;265.9;47.40;262.9;47.61;259.3;47.22;38078;37315;56.1
12:50:32;681.8;55.48;37832;266.0;47.06;262.9;47.28;259.6;46.88;37832;37074;56.1
12:55:36;681.7;55.02;37515;266.2;46.67;263.0;46.88;259.4;46.49;37515;36766;56.0
13:00:37;684.4;46.01;31492;263.8;39.38;260.7;39.57;257.3;39.24;31492;30841;54.8
13:05:39;687.3;54.78;37654;265.6;46.97;262.3;47.20;258.2;46.82;37654;36899;55.6
13:10:41;684.3;54.62;37382;264.7;46.75;261.7;46.95;257.8;46.59;37382;36633;56.1
13:15:43;682.5;54.53;37218;264.4;46.61;261.1;46.79;258.0;46.41;37218;36473;56.2
13:20:48;675.8;54.88;37092;265.1;46.35;261.4;46.60;258.1;46.19;37092;36351;56.0
13:25:51;673.1;53.06;35718;264.5;44.74;260.9;44.96;257.5;44.59;35718;35002;55.7
13:30:54;672.6;51.82;34860;263.7;43.73;260.5;43.96;257.2;43.59;34860;34161;55.2
13:35:59;672.4;50.45;33927;263.0;42.63;260.2;42.82;257.3;42.46;33927;33247;54.8
13:40:59;676.8;49.34;33397;262.8;41.99;260.0;42.19;257.3;41.83;33397;32730;54.8
13:45:59;681.3;48.49;33042;262.4;41.63;259.2;41.84;256.5;41.50;33042;32378;54.7
13:50:59;685.9;47.53;32605;261.2;41.25;258.4;41.40;256.0;41.07;32605;31952;54.5
13:56:04;682.2;47.62;32492;260.6;41.20;257.6;41.36;255.4;41.01;32492;31842;54.6
14:01:04;684.9;47.50;32538;259.8;41.37;257.0;41.52;254.8;41.19;32538;31885;55.0
14:06:10;680.2;45.34;30843;258.7;39.36;255.9;39.53;253.7;39.20;30843;30225;54.1
14:11:10;686.4;30.97;21262;254.3;27.22;251.7;27.35;250.6;27.12;21262;20721;51.9
14:16:11;696.5;41.90;29187;255.8;37.63;253.6;37.77;251.4;37.49;29187;28601;51.9
14:21:15;683.8;41.26;28222;254.1;36.64;251.7;36.77;249.6;36.50;28222;27656;52.7
14:26:15;684.1;40.56;27751;252.6;36.27;249.5;36.44;247.9;36.15;27751;27196;52.7
14:31:17;697.7;39.29;27421;251.6;35.98;248.4;36.16;246.8;35.86;27421;26866;52.5
14:36:25;672.0;35.29;23716;249.1;31.47;246.2;31.62;244.4;31.38;23716;23295;51.5
14:41:28;685.6;34.44;23619;248.1;31.35;244.4;31.54;243.0;31.27;23619;23091;51.2
14:46:28;671.6;37.79;25384;247.5;33.89;244.0;34.07;242.6;33.77;25384;24875;51.8
14:51:28;681.7;27.04;18440;245.5;24.25;242.9;24.39;241.6;24.20;18440;17831;50.8
14:56:31;726.8;13.58;9870;239.1;13.60;237.2;13.67;236.8;13.58;9870;9692;46.2
15:01:33;738.9;28.49;21053;244.9;28.34;242.1;28.47;240.2;28.27;21053;20614;48.5
15:06:34;732.3;30.06;22021;245.2;29.64;242.6;29.77;240.3;29.56;22021;21582;50.5
15:11:34;728.2;28.30;20611;245.7;27.68;243.1;27.81;240.7;27.64;20611;20196;50.1
15:16:35;729.9;26.08;19037;245.8;25.51;243.4;25.62;241.4;25.45;19037;18652;49.8
15:21:35;731.9;25.40;18593;246.8;24.81;244.5;24.91;242.7;24.75;18593;18208;48.7
15:26:37;730.2;16.31;11911;246.9;15.87;245.4;15.93;243.6;15.84;11911;11688;47.3
15:31:37;737.0;14.14;10427;248.5;13.84;247.1;13.90;245.4;13.83;10427;10273;44.9
15:36:38;744.9;22.72;16931;252.2;22.12;250.3;22.20;248.0;22.07;16931;16606;47.4
15:41:41;740.2;14.27;10569;250.0;13.96;248.8;14.01;247.4;13.94;10569;10400;45.4
